Index,price_per_ping,price_per_ping_sd,price_per_ping_log
20359,202858,0.04285604268382816,12.220266435409801
20360,138295,-0.1600599350098976,11.837151594602624
20361,106762,-0.2591654524830053,11.57836670353579
20362,149350,-0.12531501712497686,11.914054519303125
20363,161355,-0.08758433062941164,11.991368383029808
20364,176790,-0.03907344799225634,12.082723522912602
20365,183394,-0.018317641776786717,12.119397575619342
20366,141700,-0.1493583117264824,11.86147448281689
20367,102555,-0.2723876930566699,11.538164269833853
20368,204361,0.04757984291730042,12.227648210047853
20369,104308,-0.26687816424144906,11.55511292681551
20370,98661,-0.28462620144598527,11.499455146222237
20371,158887,-0.09534104318843328,11.975954830478628
20372,186916,-0.007248297517113188,12.138419947038658
20373,232868,0.13717490163692375,12.358231342676639
20374,66559,-0.3855200371711527,11.10585907549509
20375,284198,0.2985006940415354,12.557429975990107
20376,187788,-0.004507676223974256,12.14307427109089
20377,132139,-0.17940771560687382,11.791617245583877
20378,150208,-0.12261839663241585,11.919782936623559
20379,197252,0.02523686496669874,12.192242447717938
20380,241370,0.16389595924502834,12.394090447869008
20381,188231,-0.003115365177115831,12.145430523560613
20382,0,-0.5947092718615589,0.0
20383,29455,-0.502134730359945,10.290652903472859
20384,175659,-0.04262808409608677,12.076305587471108
20385,185185,-0.012688682217140129,12.129116004384365
20386,113375,-0.23838136003859278,11.638465007665198
